idnum,state,county,floor,log_radon,log_uranium
5081,MN,AITKIN,ground,0.7884573603642703,-0.6890475953544999
5082,MN,AITKIN,basement,0.7884573603642703,-0.6890475953544999
5083,MN,AITKIN,basement,1.0647107369924282,-0.6890475953544999
5084,MN,AITKIN,basement,0.0,-0.6890475953544999
5085,MN,ANOKA,basement,1.1314021114911006,-0.8473128604997048
5086,MN,ANOKA,basement,0.9162907318741551,-0.8473128604997048
5087,MN,ANOKA,basement,0.4054651081081644,-0.8473128604997048
5088,MN,ANOKA,basement,0.0,-0.8473128604997048
5089,MN,ANOKA,basement,-0.35667494393873245,-0.8473128604997048
5090,MN,ANOKA,basement,0.1823215567939546,-0.8473128604997048
5091,MN,ANOKA,basement,0.1823215567939546,-0.8473128604997048
5092,MN,ANOKA,basement,0.26236426446749106,-0.8473128604997048
5093,MN,ANOKA,basement,0.3364722366212129,-0.8473128604997048
5094,MN,ANOKA,basement,-0.916290731874155,-0.8473128604997048
5095,MN,ANOKA,basement,0.09531017980432493,-0.8473128604997048
5096,MN,ANOKA,basement,1.5040773967762742,-0.8473128604997048
5097,MN,ANOKA,basement,0.26236426446749106,-0.8473128604997048
5098,MN,ANOKA,basement,0.7419373447293773,-0.8473128604997048
5099,MN,ANOKA,basement,1.7749523509116738,-0.8473128604997048
5100,MN,ANOKA,basement,1.1939224684724346,-0.8473128604997048
5101,MN,ANOKA,basement,0.5877866649021191,-0.8473128604997048
5102,MN,ANOKA,basement,1.6863989535702288,-0.8473128604997048
5103,MN,ANOKA,basement,1.840549633397487,-0.8473128604997048
5104,MN,ANOKA,basement,0.6418538861723947,-0.8473128604997048
5105,MN,ANOKA,basement,1.8870696490323797,-0.8473128604997048
5106,MN,ANOKA,basement,1.1314021114911006,-0.8473128604997048
5107,MN,ANOKA,basement,1.916922612182061,-0.8473128604997048
5108,MN,ANOKA,basement,1.9459101490553132,-0.8473128604997048
5109,MN,ANOKA,basement,2.0412203288596382,-0.8473128604997048
5110,MN,ANOKA,basement,1.6486586255873816,-0.8473128604997048
5111,MN,ANOKA,basement,1.5040773967762742,-0.8473128604997048
5112,MN,ANOKA,basement,1.4816045409242156,-0.8473128604997048
5113,MN,ANOKA,basement,1.0296194171811581,-0.8473128604997048
5114,MN,ANOKA,basement,2.0918640616783932,-0.8473128604997048
5115,MN,ANOKA,basement,0.47000362924573563,-0.8473128604997048
5116,MN,ANOKA,basement,1.4350845252893227,-0.8473128604997048
5117,MN,ANOKA,basement,1.6863989535702288,-0.8473128604997048
5118,MN,ANOKA,basement,1.3862943611198906,-0.8473128604997048
5119,MN,ANOKA,basement,0.8329091229351039,-0.8473128604997048
5120,MN,ANOKA,basement,1.0647107369924282,-0.8473128604997048
5121,MN,ANOKA,basement,0.3364722366212129,-0.8473128604997048
5122,MN,ANOKA,basement,1.1939224684724346,-0.8473128604997048
5123,MN,ANOKA,basement,1.0647107369924282,-0.8473128604997048
5124,MN,ANOKA,ground,0.5877866649021191,-0.8473128604997048
5125,MN,ANOKA,ground,-1.6094379124341003,-0.8473128604997048
5126,MN,ANOKA,basement,0.8754687373538999,-0.8473128604997048
5127,MN,ANOKA,ground,0.09531017980432493,-0.8473128604997048
5128,MN,ANOKA,basement,0.7884573603642703,-0.8473128604997048
5129,MN,ANOKA,basement,-0.5108256237659907,-0.8473128604997048
5130,MN,ANOKA,basement,0.5306282510621704,-0.8473128604997048
5131,MN,ANOKA,basement,1.0647107369924282,-0.8473128604997048
5132,MN,ANOKA,basement,0.7884573603642703,-0.8473128604997048
5133,MN,ANOKA,basement,0.5306282510621704,-0.8473128604997048
5134,MN,ANOKA,basement,0.3364722366212129,-0.8473128604997048
5135,MN,ANOKA,basement,0.6418538861723947,-0.8473128604997048
5136,MN,ANOKA,basement,0.5877866649021191,-0.8473128604997048
5137,MN,BECKER,ground,0.1823215567939546,-0.11345877376814012
5138,MN,BECKER,basement,1.4586150226995167,-0.11345877376814012
5139,MN,BECKER,ground,1.5040773967762742,-0.11345877376814012
5140,MN,BELTRAMI,basement,1.840549633397487,-0.5933525256074713
5141,MN,BELTRAMI,basement,1.5260563034950492,-0.5933525256074713
5142,MN,BELTRAMI,basement,1.7404661748405046,-0.5933525256074713
5143,MN,BELTRAMI,ground,0.7884573603642703,-0.5933525256074713
5144,MN,BELTRAMI,ground,-0.916290731874155,-0.5933525256074713
5145,MN,BELTRAMI,ground,1.5260563034950492,-0.5933525256074713
5146,MN,BELTRAMI,ground,1.4816045409242156,-0.5933525256074713
5147,MN,BENTON,basement,1.8870696490323797,-0.14289048115302844
5148,MN,BENTON,basement,0.9932517730102834,-0.14289048115302844
5149,MN,BENTON,ground,1.0647107369924282,-0.14289048115302844
5150,MN,BENTON,basement,1.0647107369924282,-0.14289048115302844
5151,MN,BIG STONE,basement,1.9740810260220096,0.38705670842480927
5152,MN,BIG STONE,basement,1.6094379124341003,0.38705670842480927
5153,MN,BIG STONE,basement,0.9555114450274363,0.38705670842480927
5154,MN,BLUE EARTH,basement,1.6094379124341003,0.2716136642727164
5155,MN,BLUE EARTH,basement,2.5649493574615367,0.2716136642727164
5156,MN,BLUE EARTH,basement,1.9740810260220096,0.2716136642727164
5157,MN,BLUE EARTH,basement,1.916922612182061,0.2716136642727164
5158,MN,BLUE EARTH,basement,2.5494451709255714,0.2716136642727164
5159,MN,BLUE EARTH,ground,1.7578579175523736,0.2716136642727164
5160,MN,BLUE EARTH,basement,2.2512917986064953,0.2716136642727164
5161,MN,BLUE EARTH,basement,1.791759469228055,0.2716136642727164
5162,MN,BLUE EARTH,basement,1.33500106673234,0.2716136642727164
5163,MN,BLUE EARTH,ground,2.6602595372658615,0.2716136642727164
5164,MN,BLUE EARTH,basement,0.5877866649021191,0.2716136642727164
5165,MN,BLUE EARTH,basement,1.9315214116032138,0.2716136642727164
5166,MN,BLUE EARTH,basement,1.547562508716013,0.2716136642727164
5167,MN,BLUE EARTH,basement,2.2512917986064953,0.2716136642727164
5168,MN,BROWN,ground,0.9162907318741551,0.277578704889093
5169,MN,BROWN,basement,1.9021075263969205,0.277578704889093
5170,MN,BROWN,ground,1.3862943611198906,0.277578704889093
5171,MN,BROWN,basement,2.312535423847214,0.277578704889093
5172,MN,CARLTON,basement,0.7884573603642703,-0.3323154878841331
5173,MN,CARLTON,basement,0.5877866649021191,-0.3323154878841331
5174,MN,CARLTON,basement,1.2237754316221157,-0.3323154878841331
5175,MN,CARLTON,ground,1.7227665977411035,-0.3323154878841331
5176,MN,CARLTON,basement,1.4586150226995167,-0.3323154878841331
5177,MN,CARLTON,basement,1.3609765531356006,-0.3323154878841331
5178,MN,CARLTON,basement,0.26236426446749106,-0.3323154878841331
5179,MN,CARLTON,basement,1.4350845252893227,-0.3323154878841331
5180,MN,CARLTON,basement,-0.2231435513142097,-0.3323154878841331
5181,MN,CARLTON,basement,0.6931471805599453,-0.3323154878841331
5182,MN,CARVER,basement,0.47000362924573563,0.09586457155536092
5183,MN,CARVER,basement,2.5572273113676265,0.09586457155536092
5184,MN,CARVER,ground,2.6878474937846906,0.09586457155536092
5185,MN,CARVER,ground,1.547562508716013,0.09586457155536092
5186,MN,CARVER,basement,2.2617630984737906,0.09586457155536092
5187,MN,CARVER,ground,-2.3025850929940455,0.09586457155536092
5188,MN,CASS,basement,1.308332819650179,-0.6082198069309426
5189,MN,CASS,basement,2.0014800002101243,-0.6082198069309426
5190,MN,CASS,basement,0.6418538861723947,-0.6082198069309426
5191,MN,CASS,basement,1.667706820558076,-0.6082198069309426
5192,MN,CASS,basement,1.3862943611198906,-0.6082198069309426
5193,MN,CHIPPEWA,basement,2.0412203288596382,0.27368456280792725
5194,MN,CHIPPEWA,basement,0.3364722366212129,0.27368456280792725
5195,MN,CHIPPEWA,basement,2.302585092994046,0.27368456280792725
5196,MN,CHIPPEWA,basement,2.2407096892759584,0.27368456280792725
5197,MN,CHISAGO,basement,-0.2231435513142097,-0.7353200871511567
5198,MN,CHISAGO,basement,1.4816045409242156,-0.7353200871511567
5199,MN,CHISAGO,basement,1.6094379124341003,-0.7353200871511567
5200,MN,CHISAGO,basement,0.7419373447293773,-0.7353200871511567
5201,MN,CHISAGO,basement,0.5306282510621704,-0.7353200871511567
5202,MN,CHISAGO,basement,2.0918640616783932,-0.7353200871511567
5203,MN,CLAY,ground,-0.10536051565782628,0.34378117542003134
5204,MN,CLAY,basement,2.5572273113676265,0.34378117542003134
5205,MN,CLAY,basement,0.9555114450274363,0.34378117542003134
5206,MN,CLAY,ground,1.252762968495368,0.34378117542003134
5207,MN,CLAY,basement,3.2809112157876537,0.34378117542003134
5208,MN,CLAY,basement,0.4054651081081644,0.34378117542003134
5209,MN,CLAY,basement,2.5649493574615367,0.34378117542003134
5210,MN,CLAY,basement,2.174751721484161,0.34378117542003134
5211,MN,CLAY,basement,2.970414465569701,0.34378117542003134
5212,MN,CLAY,ground,0.9162907318741551,0.34378117542003134
5213,MN,CLAY,basement,2.1972245773362196,0.34378117542003134
5214,MN,CLAY,basement,2.5726122302071057,0.34378117542003134
5215,MN,CLAY,basement,1.2809338454620642,0.34378117542003134
5216,MN,CLAY,ground,1.9315214116032138,0.34378117542003134
5217,MN,CLEARWATER,ground,1.5686159179138452,-0.05986041389770528
5218,MN,CLEARWATER,basement,1.2237754316221157,-0.05986041389770528
5219,MN,CLEARWATER,ground,-0.10536051565782628,-0.05986041389770528
5220,MN,CLEARWATER,basement,1.2237754316221157,-0.05986041389770528
5221,MN,COOK,basement,0.9932517730102834,-0.5049959825257828
5222,MN,COOK,basement,0.3364722366212129,-0.5049959825257828
5223,MN,COTTONWOOD,basement,1.916922612182061,0.33956032072044606
5224,MN,COTTONWOOD,ground,2.4069451083182885,0.33956032072044606
5225,MN,COTTONWOOD,ground,-2.3025850929940455,0.33956032072044606
5226,MN,COTTONWOOD,ground,0.9162907318741551,0.33956032072044606
5227,MN,CROW WING,basement,0.5877866649021191,-0.6333907001751405
5228,MN,CROW WING,basement,0.47000362924573563,-0.6333907001751405
5229,MN,CROW WING,ground,0.0,-0.6333907001751405
5230,MN,CROW WING,basement,-0.10536051565782628,-0.6333907001751405
5231,MN,CROW WING,basement,1.0647107369924282,-0.6333907001751405
5232,MN,CROW WING,basement,1.4816045409242156,-0.6333907001751405
5233,MN,CROW WING,basement,0.4054651081081644,-0.6333907001751405
5234,MN,CROW WING,basement,1.410986973710262,-0.6333907001751405
5235,MN,CROW WING,ground,0.9162907318741551,-0.6333907001751405
5236,MN,CROW WING,ground,1.9021075263969205,-0.6333907001751405
5237,MN,CROW WING,basement,1.4586150226995167,-0.6333907001751405
5238,MN,CROW WING,basement,1.7047480922384253,-0.6333907001751405
5239,MN,DAKOTA,basement,1.2809338454620642,-0.024145162468538463
5240,MN,DAKOTA,basement,1.0296194171811581,-0.024145162468538463
5241,MN,DAKOTA,basement,2.681021528714291,-0.024145162468538463
5242,MN,DAKOTA,basement,1.9021075263969205,-0.024145162468538463
5243,MN,DAKOTA,basement,2.0794415416798357,-0.024145162468538463
5244,MN,DAKOTA,basement,0.9555114450274363,-0.024145162468538463
5245,MN,DAKOTA,ground,1.0296194171811581,-0.024145162468538463
5246,MN,DAKOTA,basement,1.4816045409242156,-0.024145162468538463
5247,MN,DAKOTA,ground,0.5306282510621704,-0.024145162468538463
5248,MN,DAKOTA,basement,0.6931471805599453,-0.024145162468538463
5249,MN,DAKOTA,basement,0.6931471805599453,-0.024145162468538463
5250,MN,DAKOTA,basement,0.4054651081081644,-0.024145162468538463
5251,MN,DAKOTA,basement,2.2617630984737906,-0.024145162468538463
5252,MN,DAKOTA,basement,2.0918640616783932,-0.024145162468538463
5253,MN,DAKOTA,basement,1.252762968495368,-0.024145162468538463
5254,MN,DAKOTA,ground,-0.2231435513142097,-0.024145162468538463
5255,MN,DAKOTA,basement,1.62924053973028,-0.024145162468538463
5256,MN,DAKOTA,basement,1.1631508098056809,-0.024145162468538463
5257,MN,DAKOTA,basement,2.379546134130174,-0.024145162468538463
5258,MN,DAKOTA,basement,2.1041341542702074,-0.024145162468538463
5259,MN,DAKOTA,basement,1.840549633397487,-0.024145162468538463
5260,MN,DAKOTA,basement,1.5686159179138452,-0.024145162468538463
5261,MN,DAKOTA,basement,1.791759469228055,-0.024145162468538463
5262,MN,DAKOTA,basement,0.09531017980432493,-0.024145162468538463
5263,MN,DAKOTA,basement,2.163323025660538,-0.024145162468538463
5264,MN,DAKOTA,basement,2.174751721484161,-0.024145162468538463
5265,MN,DAKOTA,basement,1.916922612182061,-0.024145162468538463
5266,MN,DAKOTA,basement,0.8329091229351039,-0.024145162468538463
5267,MN,DAKOTA,basement,0.47000362924573563,-0.024145162468538463
5268,MN,DAKOTA,basement,1.0296194171811581,-0.024145162468538463
5269,MN,DAKOTA,basement,1.8718021769015913,-0.024145162468538463
5270,MN,DAKOTA,basement,0.5306282510621704,-0.024145162468538463
5271,MN,DAKOTA,basement,1.5260563034950492,-0.024145162468538463
5272,MN,DAKOTA,basement,1.1939224684724346,-0.024145162468538463
5273,MN,DAKOTA,basement,1.4816045409242156,-0.024145162468538463
5274,MN,DAKOTA,basement,3.054001181677967,-0.024145162468538463
5275,MN,DAKOTA,basement,2.2082744135228043,-0.024145162468538463
5276,MN,DAKOTA,basement,-0.10536051565782628,-0.024145162468538463
5277,MN,DAKOTA,basement,1.589235205116581,-0.024145162468538463
5278,MN,DAKOTA,basement,1.6094379124341003,-0.024145162468538463
5279,MN,DAKOTA,basement,0.09531017980432493,-0.024145162468538463
5280,MN,DAKOTA,basement,2.028148247292285,-0.024145162468538463
5281,MN,DAKOTA,basement,1.6863989535702288,-0.024145162468538463
5282,MN,DAKOTA,basement,1.2809338454620642,-0.024145162468538463
5283,MN,DAKOTA,basement,1.589235205116581,-0.024145162468538463
5284,MN,DAKOTA,basement,1.547562508716013,-0.024145162468538463
5285,MN,DAKOTA,basement,0.3364722366212129,-0.024145162468538463
5286,MN,DAKOTA,basement,1.2237754316221157,-0.024145162468538463
5287,MN,DAKOTA,basement,1.4350845252893227,-0.024145162468538463
5288,MN,DAKOTA,basement,0.9162907318741551,-0.024145162468538463
5289,MN,DAKOTA,basement,0.3364722366212129,-0.024145162468538463
5290,MN,DAKOTA,basement,0.3364722366212129,-0.024145162468538463
5291,MN,DAKOTA,basement,0.6418538861723947,-0.024145162468538463
5292,MN,DAKOTA,basement,1.5686159179138452,-0.024145162468538463
5293,MN,DAKOTA,ground,0.3364722366212129,-0.024145162468538463
5294,MN,DAKOTA,basement,1.33500106673234,-0.024145162468538463
5295,MN,DAKOTA,basement,2.174751721484161,-0.024145162468538463
5296,MN,DAKOTA,basement,1.4586150226995167,-0.024145162468538463
5297,MN,DAKOTA,basement,1.4816045409242156,-0.024145162468538463
5298,MN,DAKOTA,basement,1.5040773967762742,-0.024145162468538463
5299,MN,DAKOTA,basement,0.7884573603642703,-0.024145162468538463
5300,MN,DAKOTA,basement,-0.6931471805599453,-0.024145162468538463
5301,MN,DAKOTA,basement,1.7578579175523736,-0.024145162468538463
5302,MN,DODGE,basement,1.6863989535702288,0.26385545977521707
5303,MN,DODGE,basement,1.9740810260220096,0.26385545977521707
5304,MN,DODGE,basement,1.7404661748405046,0.26385545977521707
5305,MN,DOUGLAS,basement,2.0014800002101243,0.15571231697983925
5306,MN,DOUGLAS,basement,1.5686159179138452,0.15571231697983925
5307,MN,DOUGLAS,basement,1.916922612182061,0.15571231697983925
5308,MN,DOUGLAS,basement,1.8562979903656263,0.15571231697983925
5309,MN,DOUGLAS,ground,1.308332819650179,0.15571231697983925
5310,MN,DOUGLAS,basement,1.7047480922384253,0.15571231697983925
5311,MN,DOUGLAS,basement,2.0541237336955462,0.15571231697983925
5312,MN,DOUGLAS,basement,1.4816045409242156,0.15571231697983925
5313,MN,DOUGLAS,basement,0.9932517730102834,0.15571231697983925
5314,MN,FARIBAULT,basement,1.2237754316221157,0.2950250467070394
5315,MN,FARIBAULT,basement,1.4350845252893227,0.2950250467070394
5316,MN,FARIBAULT,basement,0.8329091229351039,0.2950250467070394
5317,MN,FARIBAULT,ground,0.26236426446749106,0.2950250467070394
5318,MN,FARIBAULT,basement,1.6486586255873816,0.2950250467070394
5319,MN,FARIBAULT,basement,-2.3025850929940455,0.2950250467070394
5320,MN,FILLMORE,ground,0.9162907318741551,0.41491366292777554
5321,MN,FILLMORE,basement,1.1631508098056809,0.41491366292777554
5322,MN,FREEBORN,basement,1.1631508098056809,0.22420698566740638
5323,MN,FREEBORN,basement,2.2617630984737906,0.22420698566740638
5324,MN,FREEBORN,basement,1.4350845252893227,0.22420698566740638
5325,MN,FREEBORN,basement,2.1972245773362196,0.22420698566740638
5326,MN,FREEBORN,basement,1.840549633397487,0.22420698566740638
5327,MN,FREEBORN,basement,3.484312288372662,0.22420698566740638
5328,MN,FREEBORN,basement,2.580216829592325,0.22420698566740638
5329,MN,FREEBORN,ground,0.7884573603642703,0.22420698566740638
5330,MN,FREEBORN,ground,1.7227665977411035,0.22420698566740638
5331,MN,GOODHUE,basement,2.6602595372658615,0.19661064642423215
5332,MN,GOODHUE,ground,1.9315214116032138,0.19661064642423215
5333,MN,GOODHUE,basement,2.028148247292285,0.19661064642423215
5334,MN,GOODHUE,ground,2.2823823856765264,0.19661064642423215
5335,MN,GOODHUE,basement,0.9555114450274363,0.19661064642423215
5336,MN,GOODHUE,basement,3.7727609380946383,0.19661064642423215
5337,MN,GOODHUE,basement,1.589235205116581,0.19661064642423215
5338,MN,GOODHUE,basement,1.589235205116581,0.19661064642423215
5339,MN,GOODHUE,basement,1.252762968495368,0.19661064642423215
5340,MN,GOODHUE,basement,1.5686159179138452,0.19661064642423215
5341,MN,GOODHUE,basement,1.7227665977411035,0.19661064642423215
5342,MN,GOODHUE,basement,1.252762968495368,0.19661064642423215
5343,MN,GOODHUE,basement,1.3609765531356006,0.19661064642423215
5344,MN,GOODHUE,basement,1.9021075263969205,0.19661064642423215
5345,MN,HENNEPIN,basement,2.066862759472976,-0.09652081232424005
5346,MN,HENNEPIN,basement,1.1939224684724346,-0.09652081232424005
5347,MN,HENNEPIN,ground,0.7419373447293773,-0.09652081232424005
5348,MN,HENNEPIN,basement,0.47000362924573563,-0.09652081232424005
5349,MN,HENNEPIN,basement,1.3862943611198906,-0.09652081232424005
5350,MN,HENNEPIN,basement,0.5877866649021191,-0.09652081232424005
5351,MN,HENNEPIN,basement,0.9162907318741551,-0.09652081232424005
5352,MN,HENNEPIN,basement,2.4159137783010487,-0.09652081232424005
5353,MN,HENNEPIN,basement,0.9555114450274363,-0.09652081232424005
5354,MN,HENNEPIN,basement,1.3609765531356006,-0.09652081232424005
5355,MN,HENNEPIN,basement,2.0014800002101243,-0.09652081232424005
5356,MN,HENNEPIN,basement,0.26236426446749106,-0.09652081232424005
5357,MN,HENNEPIN,basement,-0.10536051565782628,-0.09652081232424005
5358,MN,HENNEPIN,basement,-0.916290731874155,-0.09652081232424005
5359,MN,HENNEPIN,ground,0.9162907318741551,-0.09652081232424005
5360,MN,HENNEPIN,basement,1.791759469228055,-0.09652081232424005
5361,MN,HENNEPIN,basement,0.6931471805599453,-0.09652081232424005
5362,MN,HENNEPIN,basement,1.6863989535702288,-0.09652081232424005
5363,MN,HENNEPIN,basement,1.0986122886681098,-0.09652081232424005
5364,MN,HENNEPIN,basement,1.0647107369924282,-0.09652081232424005
5365,MN,HENNEPIN,basement,1.7047480922384253,-0.09652081232424005
5366,MN,HENNEPIN,basement,1.410986973710262,-0.09652081232424005
5367,MN,HENNEPIN,basement,1.3609765531356006,-0.09652081232424005
5368,MN,HENNEPIN,basement,2.7013612129514133,-0.09652081232424005
5369,MN,HENNEPIN,basement,1.9740810260220096,-0.09652081232424005
5370,MN,HENNEPIN,basement,0.8329091229351039,-0.09652081232424005
5371,MN,HENNEPIN,ground,1.0296194171811581,-0.09652081232424005
5372,MN,HENNEPIN,basement,1.4816045409242156,-0.09652081232424005
5373,MN,HENNEPIN,basement,0.4054651081081644,-0.09652081232424005
5374,MN,HENNEPIN,basement,2.151762203259462,-0.09652081232424005
5375,MN,HENNEPIN,basement,1.7227665977411035,-0.09652081232424005
5376,MN,HENNEPIN,basement,2.151762203259462,-0.09652081232424005
5377,MN,HENNEPIN,basement,1.33500106673234,-0.09652081232424005
5378,MN,HENNEPIN,basement,0.5877866649021191,-0.09652081232424005
5379,MN,HENNEPIN,basement,0.6418538861723947,-0.09652081232424005
5380,MN,HENNEPIN,basement,1.7047480922384253,-0.09652081232424005
5381,MN,HENNEPIN,basement,0.9162907318741551,-0.09652081232424005
5382,MN,HENNEPIN,ground,-0.2231435513142097,-0.09652081232424005
5383,MN,HENNEPIN,basement,0.7419373447293773,-0.09652081232424005
5384,MN,HENNEPIN,basement,1.0296194171811581,-0.09652081232424005
5385,MN,HENNEPIN,basement,1.3609765531356006,-0.09652081232424005
5386,MN,HENNEPIN,basement,1.4586150226995167,-0.09652081232424005
5387,MN,HENNEPIN,basement,1.547562508716013,-0.09652081232424005
